Company Name;Ticker;Exchange;Sector;Industry;Market Cap (mil);s/o;52W High;52W Low;P;EPS0;EPS1;EPS2;RG;PE0;PE1;PE2;EG1;EG2;PEG1;PEG2;52W Range
Ladder Capital Corp;LADR;NYSE;Finance;REIT and Equity Trust;1521,61;127,87;12,36;9,14;11,9;1,3;1,19;1,29;-1,87;9,15;10;9,22;-8%;8%;-1,18;1,1;35%
United Fire Group;UFCS;NSDQ;Finance;Insurance - Property and Casualty;508,5;25,34;24,96;18,47;20,07;-1,34;1,1;1,5;11,75;-14,98;18,25;13,38;-182%;36%;-0,1;0,37;35%
Crescent Energy Company;CRGY;NYSE;Oils-Energy;Alternative Energy - Other;1900,65;177,46;13,77;10,19;10,71;1,02;1,6;2,5;-22,06;10,5;6,69;4,28;57%;56%;0,12;0,08;35%
MSA Safety Incorporporated;MSA;NYSE;Industrial Products;Security and Safety Services;6602,25;39,35;199,9;147,97;167,77;6,86;7,75;8,55;17;24,46;21,65;19,62;13%;10%;1,67;1,9;35%
;IFN;NYSE;Finance;Financial - Investment Funds;558,08;31,06;21,02;15,56;17,97;;;;;;;;;;;;35%
Paramount Group;PGRE;NYSE;Finance;REIT and Equity Trust - Other;1045,96;217,46;5,74;4,25;4,81;0,86;0,78;0,63;0,33;5,59;6,17;7,63;-9%;-19%;-0,66;-0,4;35%
First Financial Ban;FFBC;NSDQ;Finance;Banks - Midwest;2410,92;95,48;28,09;17,37;25,25;2,77;2,58;2,57;43,99;9,12;9,79;9,82;-7%;0%;-1,43;-25,35;62%
Enact Holdings;ACT;NSDQ;Finance;Insurance - Multi line;5558,43;155,7;35,7;26,45;35,7;4,07;4,22;4,26;5,36;8,77;8,46;8,38;4%;1%;2,3;8,84;35%
Marex Group PLC;MRX;NSDQ;Finance;Financial - Miscellaneous Services;1769,74;70,82;25,25;18,71;24,99;;2,8;2,8;;;8,93;8,93;;0%;;;35%
Lear;LEA;NYSE;Auto-Tires-Trucks;Automotive - Original Equipment;6205,11;56,26;146,07;108,26;110,3;12,06;12,79;16,43;12,33;9,15;8,62;6,71;6%;28%;1,42;0,24;35%
RenaissanceRe;RNR;NYSE;Finance;Insurance - Property and Casualty;13470,24;52,16;259,91;192,67;258,27;33,45;39,01;35,46;80,51;7,72;6,62;7,28;17%;-9%;0,4;-0,8;35%
GXO Logistics;GXO;NYSE;Transportation;Transportation - Air Freight and Cargo;5789,34;119,47;62,66;46,45;48,46;2,59;2,79;3,36;8,73;18,71;17,37;14,42;8%;20%;2,25;0,71;35%
ASGN;ASGN;NYSE;Computer and Technology;Computers - IT Services;4119,07;45,9;104,76;77,7;89,74;6,02;5,17;5,7;-2,85;14,91;17,36;15,74;-14%;10%;-1,23;1,54;35%
DrilQuip;DRQ;NYSE;Oils-Energy;Oil and Gas - Mechanical and and Equipment;530,91;34,45;30,53;14,26;15,41;-0,08;0,45;0,87;17,12;-192,63;34,24;17,71;-663%;93%;-0,05;0,19;114%
Washington Trust Bancorp;WASH;NSDQ;Finance;Banks - Northeast;534,95;17,06;33,64;21,78;31,36;2,57;2,38;2,45;41,91;12,2;13,18;12,8;-7%;3%;-1,78;4,35;54%
McGrath RentCorp;MGRC;NSDQ;Finance;Financial - Leasing Companies;2501,16;24,55;130,11;96,65;101,88;4,88;4,97;6,09;13,36;20,88;20,5;16,73;2%;23%;11,12;0,74;35%
Tate & Lyle;TATYY;OTC;Consumer Staples;Food - Miscellaneous;3440,95;97,45;36,18;30,15;35,31;;;;-2,69;;;;;;;;20%
Liberty Global Ltd;LBTYA;NSDQ;Consumer Discretionary;Cable Television;7286,97;365,45;20,34;15,11;19,94;-2,19;-0,61;-0,53;4,11;-9,11;-32,69;-37,62;-72%;-13%;0,45;2,87;35%
Oxford Industries;OXM;NYSE;Consumer Discretionary;Textile - Apparel;1310,08;15,68;112,47;83,57;83,57;10,18;8,8;9,73;11,33;8,21;9,5;8,59;-14%;11%;-0,7;0,81;35%
;IWP;NYSE;Finance;Financial - Investment Funds;13738,78;126,8;115,28;85,66;108,35;;;;;;;;;;;;35%
Liberty Global Ltd;LBTYB;NSDQ;Consumer Discretionary;Cable Television;7221,19;365,45;21;15,61;19,76;;;;4,11;;;;;;;;35%
Bain Capital Specialty Finance;BCSF;NYSE;Finance;Financial - SBIC & Commercial Industry;1085,94;64,56;17,22;14,68;16,82;2,19;2,03;1,85;35,64;7,68;8,29;9,09;-7%;-9%;-1,13;-1,03;17%
Blackbaud;BLKB;NSDQ;Computer and Technology;Computer - Software;4206;51,63;87,75;65,3;81,47;3,86;4,15;4,61;4,47;21,11;19,63;17,67;8%;11%;2,61;1,59;34%
Boyd Gaming;BYD;NYSE;Consumer Discretionary;Gaming;5480,06;91,76;67,67;50,36;59,72;6,09;6,25;6,67;5,15;9,81;9,56;8,95;3%;7%;3,64;1,33;34%
Comp En De Mn Cemig;CIG;NYSE;Utilities;Utility - Electric Power;6038,36;2861,78;2,19;1,63;2,11;0,35;0,36;0,28;10,59;6,03;5,86;7,54;3%;-22%;2,05;-0,34;34%
;XME;NYSE;Finance;Financial - Investment Funds;1411,91;26,05;65,22;48,56;54,2;;;;;;;;;;;;34%
Perrigo;PRGO;NYSE;Medical;Medical - Products;3777,34;136,41;34,14;25,43;27,69;2,55;2,57;3,15;4,58;10,86;10,77;8,79;1%;23%;13,74;0,39;34%
;RVT;NYSE;Finance;Financial - Investment Funds;1689,82;115,35;16,01;11,93;14,65;;;;;;;;;;;;34%
Plains Group;PAGP;NSDQ;Oils-Energy;Oil and Gas - Production and Pipelines;3678,97;197,26;19,98;14,89;18,65;1,02;1,24;1,63;-15,05;18,28;15,04;11,44;22%;31%;0,7;0,36;34%
COPT DEFENSE PR;CDP;NYSE;Finance;REIT and Equity Trust - Other;3276,99;112,65;29,83;22,24;29,09;2,4;2,57;2,65;-7,31;12,12;11,32;10,98;7%;3%;1,6;3,53;34%
Broadstone Net Lease;BNL;NYSE;Finance;REIT and Equity Trust - Residential;3440,44;188,52;18,48;13,78;18,25;1,41;1,42;1,46;8,68;12,94;12,85;12,5;1%;3%;18,12;4,44;34%
Incyte;INCY;NSDQ;Medical;Medical - Biomedical and Genetics;11798,56;192,6;68,61;51,18;61,26;3,65;1,55;6,14;8,87;16,78;39,52;9,98;-58%;296%;-0,69;0,03;34%
Marathon Oil;MRO;NYSE;Oils-Energy;Oil and Gas - Integrated - United States;14946,72;559,38;29,69;22,15;26,72;2,55;2,76;3,07;-16,66;10,48;9,68;8,7;8%;11%;1,18;0,77;34%
Brighthouse Financial;BHF;NSDQ;Finance;Insurance - Life Insurance;2567,55;60,76;54,65;40,78;42,26;15,57;18,16;19,87;-51,41;2,71;2,33;2,13;17%;9%;0,14;0,23;34%
California Resources;CRC;NYSE;Oils-Energy;Oil and Gas - Exploration and Production - United States;3267,6;67,88;58;43,29;48,14;5,24;3,45;4,41;3,47;9,19;13,95;10,92;-34%;28%;-0,41;0,39;34%
Dolby Laboratories;DLB;NYSE;Consumer Discretionary;Audio Video Production;6529,41;95,35;89,38;66,75;68,48;3,45;3,69;3,86;3,66;19,85;18,56;17,74;7%;5%;2,67;3,85;34%
Fastly;FSLY;NYSE;Computer and Technology;Internet - Software;783,09;138,6;24,99;5,65;5,65;-0,2;-0,14;0,03;16,93;-28,25;-40,36;188,33;-30%;-121%;1,35;-1,55;342%
CCC Intelligent Solutions;CCCS;NSDQ;Finance;Insurance - Property and Casualty;6483,36;623,4;13,35;9,97;10,4;0,32;0,36;0,41;10,73;32,5;28,89;25,37;13%;14%;2,31;1,83;34%
SJW Group;SJW;NYSE;Utilities;Utility - Water Supply;1927,04;32,71;69,19;51,68;58,91;2,69;2,76;2,98;8;21,9;21,34;19,77;3%;8%;8,2;2,48;34%
Winmark;WINA;NSDQ;Retail-Wholesale;Retail - Miscellaneous;1231,31;3,52;446,68;333,69;349,77;;;;2,25;;;;;;;;34%
Luckin Coffee;LKNCY;OTC;Consumer Staples;Beverages - Soft drinks;5578,36;279,76;37,44;18,01;19,94;;;;81,99;;;;;;;;108%
CBL & Associates Properties;CBL;NYSE;Finance;REIT and Equity Trust - Retail;811,84;31,47;26,9;20,1;25,8;;;;-4,92;;;;;;;;34%
SpartanNash;SPTN;NSDQ;Retail-Wholesale;Food - Natural Foods Products;745,43;33,74;24,05;17,99;22,09;2,2;1,98;2,15;0,89;10,04;11,16;10,27;-10%;9%;-1,12;1,2;34%
LXP Industrial Trust;LXP;NYSE;Finance;REIT and Equity Trust - Residential;2972,84;294,34;10,46;7,83;10,1;0,69;0,64;0,66;5,99;14,64;15,78;15,3;-7%;3%;-2,18;4,9;34%
;IWS;NYSE;Finance;Financial - Investment Funds;13016,83;103,3;130,41;97,63;126,01;;;;;;;;;;;;34%
;CLM;AMEX;Finance;Financial - Investment Funds;1806,85;242,21;8,4;6,29;7,46;;;;;;;;;;;;34%
Marten Transport;MRTN;NSDQ;Transportation;Transportation - Truck;1393,82;81,42;21,32;15,97;17,12;0,92;0,46;0,83;-10,48;18,61;37,22;20,63;-50%;80%;-0,74;0,26;34%
LCI Industries;LCII;NYSE;Auto-Tires-Trucks;Automotive - Original Equipment;2843,36;25,46;130,25;97,61;111,67;2,5;6;7,23;-27,32;44,67;18,61;15,45;140%;21%;0,13;0,75;33%
Liberty Global Ltd;LBTYK;NSDQ;Consumer Discretionary;Broadcast Radio and Television;7422,19;365,45;21,63;16,21;20,31;;;;4,11;;;;;;;;33%
Grupo Simec;SIM;AMEX;Basic Materials;Steel - Producers;4260,89;154,04;35,76;26,8;27,66;;;;-15,12;;;;;;;;33%
RITHM CAP CP;RITM;NYSE;Finance;Financial - Miscellaneous Services;5605,42;483,23;11,94;8,95;11,6;1,91;1,82;1,87;-19,65;6,07;6,37;6,2;-5%;3%;-1,35;2,26;33%
;GAM;NYSE;Finance;Financial - Investment Funds;1227,73;23,97;52,64;39,46;51,21;;;;;;;;;;;;33%
Pinnacle West Capital;PNW;NYSE;Utilities;Utility - Electric Power;9976,23;113,61;88,55;66,39;87,81;4,3;4,77;4,99;8,59;20,42;18,41;17,6;11%;5%;1,68;3,82;33%
BUNGE GLOBAL SA;BG;NYSE;Basic Materials;Agriculture - Products;13944,17;141,65;115,3;86,5;98,44;12,81;9,3;9,32;-11,44;7,68;10,58;10,56;-27%;0%;-0,39;49,11;33%
First Hawaiian;FHB;NSDQ;Finance;Banks - West;2953,15;127,84;26,1;17,26;23,1;1,93;1,79;1,72;33,42;11,97;12,91;13,43;-7%;-4%;-1,78;-3,43;51%
PRESTIGE CONSMR;PBH;NYSE;Medical;Medical - Products;3684,09;49,56;75,5;56,7;74,34;4,33;4,42;4,74;-0,21;17,17;16,82;15,68;2%;7%;8,09;2,17;33%
Selective Insurance Group;SIGI;NSDQ;Finance;Insurance - Property and Casualty;5428,14;60,83;109,17;82,08;89,23;5,87;3,84;7,9;18,94;15,2;23,24;11,29;-35%;106%;-0,67;0,11;33%
H, B, Fuller;FUL;NYSE;Basic Materials;Chemical - Specialty;4330,65;54,52;86,2;64,84;79,43;3,83;4,4;5,07;-6,35;20,74;18,05;15,67;15%;15%;1,21;1,03;33%
The Japan Steel Works;JPSWY;OTC;Industrial Products;Manufacturing - General Industrial ;2408,62;148,82;16,24;7,85;16,19;0,63;0,84;1,05;-1,01;25,69;19,27;15,41;33%;25%;0,58;0,62;107%
Huntsman;HUN;NYSE;Basic Materials;Chemical - Diversified ;3719,58;173;26,6;20,02;21,5;0,44;0,2;1,13;-23,83;48,86;107,5;19,03;-55%;465%;-1,97;0,04;33%
DiamondRock Hospitality;DRH;NYSE;Finance;REIT and Equity Trust - Other;1720,24;207,26;9,8;7,38;8,3;0,93;0,98;1,03;7,33;8,92;8,47;8,06;5%;5%;1,58;1,58;33%
SITIO ROYALTIES;STR;NYSE;Oils-Energy;Oil and Gas - Royalty Trust - United States;3213,16;154,26;26,59;20,03;20,83;0,72;0,65;0,59;60,53;28,93;32,05;35,31;-10%;-9%;-3,3;-3,82;33%
;EWZ;NYSE;Finance;Financial - Investment Funds;3997,36;136,15;35,66;26,87;29,36;;;;;;;;;;;;33%
TeliaSonera;TLSNY;OTC;Computer and Technology;Wireless Non-US ;12622,07;1966,06;6,43;3,93;6,42;0,22;0,33;0,34;-7,08;29,18;19,45;18,88;50%;3%;0,39;6,23;64%
Tele2;TLTZY;OTC;Utilities;Wireline Non-US;7431,08;1341,35;5,54;3,38;5,54;0,26;0,27;0,29;-1,57;21,31;20,52;19,1;4%;7%;5,33;2,58;64%
PAR Technology;PAR;NYSE;Computer and Technology;Computer - Integrated Systems;1912,16;36,28;55,25;28,55;52,7;-1,43;-0,9;-0,08;16,87;-36,85;-58,56;-658,75;-37%;-91%;1,58;7,23;94%
Rubrik;RBRK;NYSE;Computer and Technology;Internet - Software;5531,59;180,07;38;28,65;30,72;;-2,27;-1,46;;;-13,53;-21,04;;-36%;;0,59;33%
Trend Micro;TMICY;OTC;Computer and Technology;Computer - Software;8425,92;140,9;61,42;36,78;59,8;0,95;1,72;1,98;3,51;62,95;34,77;30,2;81%;15%;0,43;2;67%
Vitesse Energy;VTS;NYSE;Oils-Energy;Oil and Gas - Exploration and Production - United States;716,64;29,45;26,35;19,89;24,33;1,33;1,58;2,07;-22,05;18,29;15,4;11,75;19%;31%;0,82;0,38;32%
Ormat Technologies;ORA;NYSE;Oils-Energy;Alternative Energy - Other;4400,99;60,45;78,16;59,01;72,8;2,03;2,04;2,58;12,98;35,86;35,69;28,22;0%;26%;72,44;1,07;32%
;IJS;NYSE;Finance;Financial - Investment Funds;6886,9;67,15;108,74;82,1;102,56;;;;;;;;;;;;32%
Avangrid;AGR;NYSE;Utilities;Utility - Electric Power;13738,86;387,01;37,55;28,36;35,5;2,06;2,24;2,4;4,87;17,23;15,85;14,79;9%;7%;1,81;2,07;32%
NOV;NOV;NYSE;Business Services;Technology Services;6405,61;393,71;21,54;16,27;16,27;1,39;1,63;1,84;18,6;11,71;9,98;8,84;17%;13%;0,58;0,69;32%
Nordson;NDSN;NSDQ;Industrial Products;Manufacturing - General Industrial ;13967,73;57,18;278,89;210,71;244,27;8,96;9,55;10,35;1,48;27,26;25,58;23,6;7%;8%;3,88;2,82;32%
Bowhead Specialty Holdings Inc,;BOW;NYSE;Finance;Insurance - Property and Casualty;1017;32,66;31,49;23,8;31,14;;1,3;1,59;;;23,95;19,58;;22%;;0,88;32%
Waystar Holding Corp,;WAY;NSDQ;Computer and Technology;Internet - Software;4556,48;166,66;27,34;20,67;27,34;;0,25;0,78;;;109,36;35,05;;212%;;0,17;32%
Potlatch;PCH;NSDQ;Construction;Building Products - Wood;3364,06;78,91;49,6;37,5;42,63;0,45;-0,01;0,71;-23,05;94,73;-4263;60,04;-102%;-7200%;41,7;-0,01;32%
Texas Capital Bancshares;TCBI;NSDQ;Finance;Banks - Southwest;3120,59;46,2;70,68;53,45;67,55;3,96;3,35;4,05;19,92;17,06;20,16;16,68;-15%;21%;-1,31;0,8;32%
;EWG;NYSE;Finance;Financial - Investment Funds;902,88;28,5;32,74;24,77;31,68;;;;;;;;;;;;32%
Energizer;ENR;NYSE;Consumer Staples;Consumer Products - Staples;2236,45;71,8;36,12;27,35;31,15;3,04;3,27;3,54;-2,96;10,25;9,53;8,8;8%;8%;1,26;1,07;32%
Preferred Bank;PFBC;NSDQ;Finance;Banks - West;1132,32;14,43;91,26;59,53;78,47;10,44;9,61;8,91;59,44;7,52;8,17;8,81;-8%;-7%;-1,03;-1,21;53%
Plains All American Pipeline;PAA;NSDQ;Oils-Energy;Oil and Gas - Production Pipeline - MLB;12177,78;701,08;19,03;14,41;17,37;1,18;1,3;1,41;-15,05;14,72;13,36;12,32;10%;8%;1,31;1,46;32%
Gladstone Commercial;GOOD;NSDQ;Finance;REIT and Equity Trust - Other;643,96;42,53;15,29;11,58;15,14;1,45;1,38;1,39;-0,94;10,44;10,97;10,89;-5%;1%;-2,27;15,03;32%
;OIH;NYSE;Finance;Financial - Investment Funds;1523,29;5,55;362,3;274,44;274,44;;;;;;;;;;;;32%
Chesapeake Energy;CHK;NSDQ;Oils-Energy;Oil and Gas - Exploration and Production - United States;9299,53;131,27;92,96;70,42;70,84;4,22;1,32;5,33;-25,73;16,79;53,67;13,29;-69%;304%;-0,78;0,04;32%
;IJJ;NYSE;Finance;Financial - Investment Funds;7404,59;63,05;122,83;93,05;117,44;;;;;;;;;;;;32%
;IBB;NSDQ;Finance;Financial - Investment Funds;7565,75;53;148,28;112,41;142,75;;;;;;;;;;;;32%
Gentex;GNTX;NSDQ;Auto-Tires-Trucks;Automotive - Original Equipment;6913,42;230,22;37,1;28,13;30,03;1,78;1,96;2,32;19,82;16,87;15,32;12,94;10%;18%;1,52;0,7;32%
;STEW;NYSE;Finance;Financial - Investment Funds;1502,53;97,13;15,97;12,11;15,47;;;;;;;;;;;;32%
Donaldson;DCI;NYSE;Industrial Products;Pollution Control;8398,26;120,4;75,56;57,3;69,75;3,37;3,66;4,05;4,53;20,7;19,06;17,22;9%;11%;2,21;1,62;32%
Zurn Elkay Water Solutions Cor;ZWS;NYSE;Industrial Products;Manufacturing - Electronics;5078,29;170,93;33,47;25,39;29,71;0,95;1,21;1,33;19,4;31,27;24,55;22,34;27%;10%;0,9;2,25;32%
Air France-KLM;AFLYY;OTC;Transportation;Transportation - Airline;2198,86;2627,7;1,57;0,78;0,84;0,38;0,21;0,36;16,81;2,2;3,98;2,32;-45%;71%;-0,09;0,03;101%
The J, M, Smucker Co,;SJM;NYSE;Consumer Staples;Food - Miscellaneous;12797,48;106,41;141,58;107,47;120,27;9,59;9,82;10,56;-4,11;12,54;12,25;11,39;2%;8%;5,11;1,51;32%
Kite Realty Group Trust;KRG;NYSE;Finance;REIT and Equity Trust - Retail;5638,82;219,67;26,08;19,8;25,67;2,02;2,06;2,13;2,62;12,71;12,46;12,05;2%;3%;6,29;3,55;32%
Safety Insurance Group;SAFT;NSDQ;Finance;Insurance - Property and Casualty;1239,67;14,84;88,81;65,87;83,55;;;;16,73;;;;;;;;35%
Prospect Capital;PSEC;NSDQ;Finance;Financial - Investment Management;2265,06;428,99;6,25;4,75;5,28;;;;1,11;;;;;;;;32%
FTI Consulting;FCN;NYSE;Business Services;Consulting Services;7817,35;35,9;231;175,66;217,74;7;8,48;9,41;15,2;31,11;25,68;23,14;21%;11%;1,21;2,11;32%
Rush Street Interactive;RSI;NYSE;Consumer Discretionary;Gaming;2047,65;225,51;10,77;3,29;9,08;-0,17;0,14;0,44;16,71;-53,41;64,86;20,64;-182%;214%;-0,36;0,1;227%
IDEX;IEX;NYSE;Industrial Products;Manufacturing - General Industrial ;14772,76;75,7;245,87;187;195,14;8,17;7,88;8,58;2,89;23,88;24,76;22,74;-4%;9%;-6,98;2,56;31%
Tsingtao Brewery Co,;TSGTY;OTC;Consumer Staples;Beverages - Alcohol;7353,02;272,84;42,56;26,46;26,95;2,21;2,43;2,66;;12,19;11,09;10,13;10%;9%;1,11;1,07;61%
FirstService;FSV;NSDQ;Finance;Real Estate - Operations;7980,04;45,02;180,05;136,95;177,27;4,7;4,75;5,45;15,72;37,72;37,32;32,53;1%;15%;35,08;2,21;31%
National Fuel Gas Company;NFG;NYSE;Utilities;Utility - Gas Distribution;5386,4;91,36;60,05;45,68;58,96;5,21;5,13;6,18;-0,56;11,32;11,49;9,54;-2%;20%;-7,48;0,47;31%
KnightSwift Transportation;KNX;NYSE;Transportation;Transportation - Truck;8106,15;161,86;60,31;45,88;50,08;2,1;1,1;2,57;-3,86;23,85;45,53;19,49;-48%;134%;-0,96;0,15;31%
Ingles Markets;IMKTA;NSDQ;Retail-Wholesale;Retail - Supermarkets;1370,44;18,99;89,13;67,82;72,15;;;;3,77;;;;;;;;31%
PPDAI Group;FINV;NYSE;Finance;Financial - Miscellaneous Services;1376,8;265,28;5,79;4,41;5,19;;;;9,48;;;;;;;;31%
White Mountains Insurance Group;WTM;NYSE;Finance;Insurance - Property and Casualty;4513,78;2,57;1871,4;1425,4;1757,51;;;;87,12;;;;;;;;31%
Wendy's;WEN;NSDQ;Retail-Wholesale;Retail - Restaurants;3453,09;203,24;20,78;15,83;16,99;0,99;0,98;1,05;4,11;17,16;17,34;16,18;-1%;7%;-17,16;2,27;31%
ONE Gas;OGS;NYSE;Utilities;Utility - Gas Distribution;3885,35;56,65;75,65;57,63;68,58;4,14;3,84;4,16;-7,99;16,57;17,86;16,49;-7%;8%;-2,46;1,98;31%
First Busey;BUSE;NSDQ;Finance;Banks - Midwest;1478,22;56,85;28,41;18,42;26;2,23;2,06;2,51;23,62;11,66;12,62;10,36;-8%;22%;-1,66;0,47;54%
;EZU;AMEX;Finance;Financial - Investment Funds;7588,17;153,7;52,81;40,25;49,37;;;;;;;;;;;;31%
Nable;NABL;NYSE;Business Services;Technology Services;2321,62;185,29;15,27;11,64;12,53;0,35;0,46;0,51;13,48;35,8;27,24;24,57;31%;11%;0,87;2,26;31%
Accel Entertainment;ACEL;NYSE;Consumer Discretionary;Gaming;923,86;82,64;12,2;9,52;11,18;0,9;0,83;0,62;20,69;12,42;13,47;18,03;-8%;-25%;-1,73;-0,71;28%
Taylor Wimpey;TWODY;OTC;Construction;Building Products - Home Builders;7540,03;353,99;22,73;12,68;21,3;1,23;1,03;1,41;-20,08;17,32;20,68;15,11;-16%;37%;-1,27;0,41;79%
;FSCO;NYSE;Finance;Financial - Miscellaneous Services;2093,6;343,21;6,61;5,04;6,1;;;;9,65;;;;;;;;31%
Appian;APPN;NSDQ;Computer and Technology;Internet - Software;2173,36;72,35;52,04;26,81;30,04;-1,11;-0,52;0,12;16,53;-27,06;-57,77;250,33;-53%;-123%;1,09;-2,03;94%
KT;KT;NYSE;Computer and Technology;Wireless Non-US ;7916,33;515,72;15,5;11,82;15,35;1,42;1,86;2,15;1,77;10,81;8,25;7,14;31%;16%;0,27;0,46;31%
Plymouth Industrial REIT;PLYM;NYSE;Finance;REIT and Equity Trust - Other;1033,67;45,4;25,42;19,39;22,77;1,84;1,89;2,06;8,89;12,38;12,05;11,05;3%;9%;4,43;1,23;31%
Dr, Reddys Laboratories;RDY;NYSE;Medical;Medical - Generic Drugs;13220,28;166,92;84,21;64,27;79,2;3,96;4,11;4,13;11,97;20;19,27;19,18;4%;0%;5,09;39,41;31%
Capital Clean Energy Carriers Corp,;CCEC;NSDQ;Transportation;Transportation - Shipping;957,1;55,39;18,66;12,93;17,28;2,12;1,96;1,81;20,57;8,15;8,82;9,55;-8%;-8%;-1,17;-1,25;44%
Antero Midstream;AM;NYSE;Oils-Energy;Oil and Gas - Integrated - United States;6877,22;481,26;15,16;11,58;14,29;0,76;0,85;1,06;13,24;18,8;16,81;13,48;12%;25%;1,42;0,55;31%
Enersys;ENS;NYSE;Industrial Products;Manufacturing - Electronics;3875,97;40,24;110,19;84,21;96,31;8,3;8,94;9,94;-3,42;11,6;10,77;9,69;8%;11%;1,4;0,87;31%
Granite Real Estate;GRP,U;NYSE;Finance;REIT and Equity Trust - Other;3508,43;62,74;59,78;45,69;55,92;3,66;3,89;4,19;10,17;15,28;14,38;13,35;6%;8%;2,29;1,73;31%
Option Care Health;OPCH;NSDQ;Medical;Medical - Outpatient and Home Healthcare;5489,86;171,02;34,84;26,63;32,1;1,43;1,22;1,41;9,06;22,45;26,31;22,77;-15%;16%;-1,79;1,46;31%
i3 Verticals;IIIV;NSDQ;Computer and Technology;Internet - Software;722,07;33,79;24,99;18,14;21,37;1,52;1,21;1,4;16,48;14,06;17,66;15,26;-20%;16%;-0,87;0,97;38%
Hilltop Holdings;HTH;NYSE;Finance;Banks - Southeast;2048;64,95;35,46;27,12;31,53;1,65;1,36;1,52;10,1;19,11;23,18;20,74;-18%;12%;-1,32;1,76;31%
TriCo Bancshares;TCBK;NSDQ;Finance;Banks - West;1405,83;32,99;47,95;30,23;42,61;3,58;3,3;3,41;19,4;11,9;12,91;12,5;-8%;3%;-1,65;3,75;59%
Sprott;SII;NYSE;Finance;Financial - Investment Management;1001,68;25,86;47,03;28,43;38,73;;;;16,42;;;;;;;;65%
The Andersons;ANDE;NSDQ;Basic Materials;Agriculture - Products;1628,47;34,07;60,41;46,22;47,8;2,92;;;-14,86;16,37;;;;;;;31%
Kforce;KFRC;NYSE;Business Services;Staffing Firms;1210,8;19,38;73,41;56,18;62,48;3,45;2,69;3,13;-10,46;18,11;23,23;19,96;-22%;16%;-1,05;1,22;31%
First American Financial;FAF;NYSE;Finance;Insurance - Property and Casualty;6689,75;102,89;65,39;50,06;65,02;3,81;3,89;5,06;-21,06;17,07;16,71;12,85;2%;30%;7,96;0,43;31%
ESCO Technologies;ESE;NYSE;Industrial Products;Manufacturing - Electronics;2958,21;25,75;124,3;95,22;114,87;3,67;4,22;4,85;11,49;31,3;27,22;23,68;15%;15%;1,82;1,59;31%
Crown Holdings;CCK;NYSE;Industrial Products;Containers - Metal and Glass;11021,72;120,64;93,31;71,52;91,36;6,03;6,15;6,77;-7,21;15,15;14,86;13,49;2%;10%;7,46;1,34;30%
Crane NXT;CXT;NYSE;Business Services;Technology Services;3181,39;57,14;64,62;49,53;55,68;4,09;4,28;4,73;-58,78;13,61;13,01;11,77;5%;11%;2,8;1,12;30%
WPP;WPP;NYSE;Business Services;Advertising and Marketing;10977,56;227,04;53,9;41,34;48,35;5,91;5,72;5,78;3,41;8,18;8,45;8,37;-3%;1%;-2,63;7,97;30%
Bausch + Lomb;BLCO;NYSE;Medical;Medical Services;5600,75;352,03;17,72;13,6;15,91;0,66;0,6;0,86;10,03;24,11;26,52;18,5;-9%;43%;-2,92;0,43;30%
Lancaster Colony;LANC;NSDQ;Consumer Staples;Food - Miscellaneous;4888,52;27,53;207,63;159,43;177,59;6,32;6,85;7,24;2,7;28,1;25,93;24,53;8%;6%;3,09;4,31;30%
Black Stone Minerals;BSM;NYSE;Oils-Energy;Energy and Pipeline - Master Limited Partnerships;3178,15;225,4;18,36;14,1;14,1;1,72;1,31;1,45;-10,76;8,2;10,76;9,72;-24%;11%;-0,45;0,91;30%
Chemed;CHE;NYSE;Medical;Medical - Outpatient and Home Healthcare;8600,25;15,05;650,7;499,76;571,44;21,1;23,58;25,48;6,06;27,08;24,23;22,43;12%;8%;2,06;2,78;30%
Henry Schein;HSIC;NSDQ;Medical;Medical - Dental Supplies;8718,76;126,71;80,57;61,89;68,81;4,54;4,75;5,26;-2,44;15,16;14,49;13,08;5%;11%;3,13;1,22;30%
Reynolds Consumer Products;REYN;NSDQ;Consumer Discretionary;Consumer Products - Discretionary;6806,38;210,14;32,5;24,97;32,39;1,38;1,69;1,79;-1,6;23,47;19,17;18,09;22%;6%;0,85;3,06;30%
InvenTrust Properties;IVT;NYSE;Finance;REIT and Equity Trust - Other;1979,49;67,93;29,68;22,81;29,14;1,65;1,75;1,82;9,28;17,66;16,65;16,01;6%;4%;2,75;4;30%
C3,ai;AI;NYSE;Computer and Technology;Computers - IT Services;2658,62;124,82;36,97;20,5;21,3;-0,67;-0,54;-0,23;16,41;-31,79;-39,44;-92,61;-19%;-57%;2,03;1,61;80%
CHOW TAI FOOK;CJEWY;OTC;Retail-Wholesale;Retail - Jewelry;7750,48;998,77;15,89;7,76;7,76;1,06;1,05;1,08;15,09;7,32;7,39;7,19;-1%;3%;-7,83;2,51;105%
Hexcel;HXL;NYSE;Aerospace;Aerospace - Defense Equipment;4850,93;81,75;77,05;59,34;59,34;1,88;2,08;2,66;13,39;31,56;28,53;22,31;11%;28%;2,68;0,8;30%
Grab ;GRAB;NSDQ;Business Services;Technology Services;12906,67;3923;3,79;2,92;3,29;-0,13;-0,01;0,07;64,62;-25,31;-329;47;-92%;-800%;3,56;-0,06;30%
